,STATIONS_ID,Datum,Monat,Jahr,Jahreszeit,MO_TT,MO_TX,MO_TN,MO_RR,MO_TT_Monat_mean,MO_TX_Monat_mean,MO_TN_Monat_mean,MO_RR_Monat_mean,MO_TT_Jahr_mean,MO_TX_Jahr_mean,MO_TN_Jahr_mean,MO_RR_Jahr_mean,MO_TT_Jahreszeit_ges_mean,MO_TX_Jahreszeit_ges_mean,MO_TN_Jahreszeit_ges_mean,MO_RR_Jahreszeit_ges_mean,MO_TT_Jahreszeit_mean,MO_TX_Jahreszeit_mean,MO_TN_Jahreszeit_mean,MO_RR_Jahreszeit_mean,Anomalie_Monat_MO_TT,Anomalie_Monat_MO_TX,Anomalie_Monat_MO_TN,Anomalie_Monat_MO_RR,Anomalie_Jahr_MO_TT,Anomalie_Jahr_MO_TX,Anomalie_Jahr_MO_TN,Anomalie_Jahr_MO_RR,Anomalie_Jahreszeit_MO_TT,Anomalie_Jahreszeit_MO_TX,Anomalie_Jahreszeit_MO_TN,Anomalie_Jahreszeit_MO_RR,Trendlinie_MO_TT,Trendlinie_MO_RR_Monat,Trendlinie_MO_RR_ab_1990,Trendlinie_MO_RR_Fruehling,Trendlinie_MO_RR_Sommer,Trendlinie_MO_RR_Herbst,Trendlinie_MO_RR_Winter,Trendlinie_MO_RR_Jahr,Trendlinie_MO_RR_Jahr_ab_1990
807,15963,1952-12-01,12,1952,Winter,1.6,,,,3.608269230769231,5.8578,1.1059999999999999,73.514,1.6,,,,3.0489102564102564,5.6303947368421055,0.29894736842105263,64.04605263157895,1.6,,,,-0.7958098750416854,,,,-0.0,,,,-0.7508667212691715,,,,9.237595736082852,,,,,,,,
808,15963,1953-01-01,1,1953,Winter,1.1,,,,2.4686538461538463,4.860588235294118,-0.15176470588235294,66.11176470588235,10.108333333333333,,,,3.0489102564102564,5.6303947368421055,0.29894736842105263,64.04605263157895,2.8333333333333335,,,,-0.8610549855817329,,,,-0.9747947298071414,,,,-0.9667336108337353,,,,9.240350752826847,,,,,,,,
809,15963,1953-02-01,2,1953,Winter,2.2,,,,3.069807692307692,6.177254901960784,-0.04156862745098041,52.69803921568627,10.108333333333333,,,,3.0489102564102564,5.6303947368421055,0.29894736842105263,64.04605263157895,2.8333333333333335,,,,-0.9119406791298037,,,,-0.9747947298071414,,,,-0.9667336108337353,,,,9.243105769570843,,,,,,,,
804,15963,1953-03-01,3,1953,Fruehling,5.3,,,,6.098076923076923,10.032549019607844,2.4396078431372548,60.928000000000004,10.108333333333333,,,,9.698846153846153,14.225294117647058,5.129869281045751,59.26578947368421,9.833333333333334,,,,-0.9192577044549501,,,,-0.9747947298071414,,,,0.043597353702947365,,,,9.245594171791224,,,,,,,,
800,15963,1953-04-01,4,1953,Fruehling,10.0,,,,9.306538461538462,13.972156862745098,4.537647058823529,49.88823529411765,10.108333333333333,,,,9.698846153846153,14.225294117647058,5.129869281045751,59.26578947368421,9.833333333333334,,,,0.1387567903718471,,,,-0.9747947298071414,,,,0.043597353702947365,,,,9.248349188535219,,,,,,,,
801,15963,1953-05-01,5,1953,Fruehling,14.2,,,,13.691923076923077,18.671176470588236,8.41235294117647,67.01372549019608,10.108333333333333,,,,9.698846153846153,14.225294117647058,5.129869281045751,59.26578947368421,9.833333333333334,,,,0.10128857022662006,,,,-0.9747947298071414,,,,0.043597353702947365,,,,9.251015333771342,,,,,,,,
810,15963,1953-06-01,6,1953,Sommer,16.3,,,,16.483076923076922,21.508823529411767,11.187450980392155,78.25294117647059,10.108333333333333,,,,17.50581699346405,22.616866666666667,12.4668,75.636,16.733333333333334,,,,-0.98199187869039,,,,-0.9747947298071414,,,,-0.8692597796672329,,,,9.253770350515337,,,,,,,,
811,15963,1953-07-01,7,1953,Sommer,17.1,,,,18.1652,23.20387755102041,13.167551020408164,78.18979591836735,10.108333333333333,,,,17.50581699346405,22.616866666666667,12.4668,75.636,16.733333333333334,,,,-0.8920093375443829,,,,-0.9747947298071414,,,,-0.8692597796672329,,,,9.25643649575146,,,,,,,,
812,15963,1953-08-01,8,1953,Sommer,16.8,,,,17.902156862745098,23.171799999999998,13.085,70.464,10.108333333333333,,,,17.50581699346405,22.616866666666667,12.4668,75.636,16.733333333333334,,,,-0.8882394867043076,,,,-0.9747947298071414,,,,-0.8692597796672329,,,,9.259191512495455,,,,,,,,
805,15963,1953-09-01,9,1953,Herbst,14.1,,,,14.670000000000002,19.580416666666668,10.487083333333333,67.90625,10.108333333333333,,,,10.488618421052632,14.360604026845637,7.0012080536912755,65.77114093959732,11.033333333333333,,,,-0.9425230986523332,,,,-0.9747947298071414,,,,0.17766922281374517,,,,9.261946529239449,,,,,,,,
802,15963,1953-10-01,10,1953,Herbst,11.7,,,,10.818235294117647,14.8498,7.284400000000001,63.052,10.108333333333333,,,,10.488618421052632,14.360604026845637,7.0012080536912755,65.77114093959732,11.033333333333333,,,,0.1768148812027874,,,,-0.9747947298071414,,,,0.17766922281374517,,,,9.264612674475574,,,,,,,,
803,15963,1953-11-01,11,1953,Herbst,7.3,,,,6.225192307692307,8.968235294117648,3.4427450980392154,66.42745098039217,10.108333333333333,,,,10.488618421052632,14.360604026845637,7.0012080536912755,65.77114093959732,11.033333333333333,,,,0.21583094031789019,,,,-0.9747947298071414,,,,0.17766922281374517,,,,9.267367691219567,,,,,,,,
806,15963,1953-12-01,12,1953,Winter,5.2,,,,3.608269230769231,5.8578,1.1059999999999999,73.514,10.108333333333333,,,,3.0489102564102564,5.6303947368421055,0.29894736842105263,64.04605263157895,2.8333333333333335,,,,0.3203066413037515,,,,-0.9747947298071414,,,,-0.9667336108337353,,,,9.270033836455692,,,,,,,,
700,15963,1954-01-01,1,1954,Winter,-0.44,2.51,-3.23,64.8,2.4686538461538463,4.860588235294118,-0.15176470588235294,66.11176470588235,9.321666666666667,13.340000000000002,5.5325,72.27499999999999,3.0489102564102564,5.6303947368421055,0.29894736842105263,64.04605263157895,1.7233333333333334,4.473333333333334,-1.07,61.6,-0.7039645330246973,-0.7458448198226504,-0.7522899557801643,-0.9800040335531869,-0.8846667939660111,-0.8947140005207884,-0.891375,0.30054644808743164,-0.772453410225628,-0.793551412599756,-0.8028704366961584,-0.9464561147206949,9.272788853199685,68.96850773050201,,,,,188.9289787019956,805.0233099209831,
701,15963,1954-02-01,2,1954,Winter,0.16,3.2,-2.79,37.0,3.069807692307692,6.177254901960784,-0.04156862745098041,52.69803921568627,9.321666666666667,13.340000000000002,5.5325,72.27499999999999,3.0489102564102564,5.6303947368421055,0.29894736842105263,64.04605263157895,1.7233333333333334,4.473333333333334,-1.07,61.6,-0.7038468328854189,-0.6779751072734451,-0.7788534428300695,-0.7516538812990033,-0.8846667939660111,-0.8947140005207884,-0.891375,0.30054644808743164,-0.772453410225628,-0.793551412599756,-0.8028704366961584,-0.9464561147206949,9.27554386994368,68.95672859762206,,,,,188.9289787019956,805.0233099209831,
